Site,Unit,Mont.Sample.No.,John.Sample.No.,Elevation,Layer,Context,Depth,Cyperaceae,Typha.Sparganium,Alternanthera,Apiaceae,Anemone,Asteraceae HS,Asteraceae LS,Centaurea,Asteraceae Liguliflorae,Astragalus.Vicia,Boerhaavia,Brassicaceae,Caryophyllaceae,ChenoAm,Cirsium,Convolvulaceae,Corchorus,Croton,Dipsacus,Echium,Ephedra,Euphorbiaceae,Fabaceae,Fagopyrum,Fragaria,Geraniaceae,Gossypium,Hypericaceae,Impatiens,Lamiaceae,Liliaceae,Lonicera,Lythraceae,Melilotus,Mitchellia,Nyctaginaceae,Onagraceae,Parthenocissus,Plantago.II,Plantago,Poaceae,Polygonaceae,Polygonum,Portulaca,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Rumex,Scrophulariaceae,Solanaceae,Trifolium,Trifolium.repens,Cannabis.Urtica,Verbenaceae,Vitis,Yucca,Cerealea,Cerealea.type.B,Zea mays,Acer,Aesculus,Ailanthus,Alnus,Asimina,Betula,Carpinus,Carya,Castanea,Catalpa,Celtis,Cephalanthus,Cornus,Corylus,Diospyros,Ericaceae,Fagus,Fraxinus,Gleditsia,Gymnocladus,Ilex,Juglans.nigra,Liquidambar,Liriodendron,Magnolia,Malus.Pyrus,Myrica,Myrtaceae,Nyssa.aquatica,Nyssa.sylvatica,Ostrya,Picea,Pinus,Platanus,Podocarpus,Prunus,Quercus,Rhamnaceae,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Zanthoxylum,Indeterminant,Unknown.B,Unknown.C,Unknown.G,Unknown S,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
Paw Paw,1,1S-50,0,383,1,A,0,0,0,0,8,0,1,69,,0,0,,0,0,0,0,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,1,,,1,,3,10,0,0,0,0,0,,0,0,,,0,1,0,0,2,11,0,1,,0,1,,0,0,0,1,0,20,0,,0,0,1,0,,0,1,8,,,0,5,0,1,,,0,0,0,0,0,0,26,3,0,1,68,1,0,0,0,27,0,1,0,0,,7,,,0,2,0,0,108,165,9,0,282,0
Paw Paw,1,1S-49,10,382.9,1,A,0.1,3,0,0,1,0,1,56,,0,0,,0,1,4,1,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,1,,,1,,4,6,0,0,0,0,0,,1,0,,,0,0,3,0,0,7,0,0,,0,0,,1,0,0,1,0,8,0,,2,0,0,0,,0,0,3,,,0,7,0,9,,,0,0,0,0,0,1,68,3,0,0,50,0,1,0,0,16,0,0,1,0,,9,,,0,0,1,3,87,171,9,1,270,1
Paw Paw,1,1S-48,20,382.8,1,A,0.2,2,0,0,10,0,2,108,,0,0,,0,0,3,0,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,9,7,0,0,0,0,0,,0,0,,,1,0,1,0,0,2,0,0,,0,1,,0,1,0,1,0,3,3,,1,0,2,0,,0,1,1,,,0,3,0,1,,,1,0,0,0,1,0,17,0,0,0,35,0,1,1,0,21,0,0,1,0,,5,,,1,0,0,2,143,97,6,0,248,0
Paw Paw,1,1S-47,30,382.7,2,A,0.3,2,0,0,15,0,3,150,,0,0,,2,0,7,1,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,2,,5,7,2,0,0,1,0,,0,0,,,0,0,2,0,0,3,0,1,,0,0,,0,0,0,1,0,5,5,,0,0,0,0,,0,0,0,,,1,0,0,0,,,0,1,0,0,1,0,4,2,0,0,31,0,1,1,0,14,0,0,0,0,,7,,,2,0,0,2,201,67,9,0,279,0
Paw Paw,1,1S-46,40,382.6,2,A,0.4,1,0,0,19,0,1,147,,0,0,,0,0,3,1,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,1,,,0,,7,15,0,0,0,0,0,,1,1,,,0,0,4,0,0,2,0,1,,0,0,,1,0,0,2,0,1,1,,0,0,0,0,,0,0,1,,,0,0,0,0,,,0,0,0,0,0,0,3,1,0,1,24,1,1,3,0,6,1,0,1,0,,5,,,1,0,0,1,203,49,6,0,259,0
Paw Paw,1,1S-45,50,382.5,2,A,0.5,0,0,0,18,0,4,171,,0,0,,0,0,1,0,0,,0,,,,0,1.0 ,1,0,,0,,0,0,0,,0,0,2,,,1,,10,4,0,0,0,0,0,,5,0,,,0,0,4,0,0,4,0,0,,0,0,,0,1,0,1,0,0,1,,0,0,0,0,,0,1,1,,,1,2,0,0,,,0,0,0,0,0,0,2,1,0,0,13,0,0,0,0,5,0,0,0,1,,6,,,0,0,0,0,225,31,6,0,262,0
Paw Paw,1,1S-44,60,382.4,3,B,0.6,1,0,0,10,0,4,175,,0,0,,0,0,0,3,0,,0,,,,0,0.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,6,8,1,0,0,0,0,,1,1,,,2,0,5,1,0,5,0,0,,0,0,,1,2,0,0,0,3,1,,0,0,0,0,,0,1,1,,,0,1,0,0,,,0,0,0,0,2,0,1,1,0,0,20,0,2,1,0,5,0,0,0,0,,5,,,0,0,0,1,222,42,5,0,270,0
Paw Paw,1,1S-43,70,382.3,3,B,0.7,0,0,0,6,0,2,154,,1,0,,0,0,0,1,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,4,8,0,0,0,0,0,,0,0,,,0,0,4,0,0,0,0,0,,0,0,,0,1,0,0,0,4,2,,0,0,0,0,,0,0,1,,,0,0,0,1,,,0,1,0,0,1,0,5,2,0,0,25,0,0,1,0,5,0,0,0,0,,3,,,0,0,0,0,180,50,3,0,233,0
Paw Paw,1,1S-42,80,382.2,3,B,0.8,0,0,0,11,0,4,155,,0,0,,0,0,1,0,0,,0,,,,0,1.0 ,0,0,,0,,0,0,0,,0,0,0,,,0,,5,7,0,0,0,0,0,,1,0,,,0,0,8,0,0,3,0,1,,0,0,,0,0,0,0,0,3,4,,0,0,0,0,,0,1,0,,,0,0,0,2,,,0,0,0,0,1,0,3,2,0,0,22,0,12,0,0,4,0,0,1,0,,5,,,0,0,0,0,196,56,5,0,257,0
Paw Paw,1,1S-41,90,382.1,3,C,0.9,0,0,0,8,0,0,171,,0,0,,0,0,2,3,0,,0,,,,0,0.0 ,1,0,,0,,0,0,0,,0,0,0,,,0,,5,8,0,0,0,0,0,,1,0,,,0,0,4,0,0,6,0,2,,0,0,,0,1,0,0,1,1,3,,0,0,0,0,,0,0,0,,,0,0,0,2,,,0,0,0,0,1,0,1,2,0,0,14,0,13,1,0,4,0,0,0,0,,2,,,0,0,0,0,211,44,2,0,257,0
