Uwisc. No.,Date Sent,Site,Unit,Sample No.,Layer,Context,Elevation,Depth,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Sr,Ti,Zn,S
1,Nov. 02,Paw Paw,PP1,210,6,M,378.1,4.8,7100.58,60.46,941.32,36761.1,239.62,2236.54,1882.01,52.26,530.44,6.82,579.13,53.72,74.76
2,Nov. 02,Paw Paw,PP1,207,6,L,378.2,4.7,8049.86,65.14,1052.83,40714.5,286.08,2416.07,1759.62,55.44,555.81,7.54,511.07,51.07,71.24
3,Nov. 02,Paw Paw,PP1,204,6,L,378.3,4.6,8208.41,76.22,1048.01,37819.1,302.85,2330.69,1876.84,59.72,581.65,7.4,515.29,50.9,67.7
4,Nov. 02,Paw Paw,PP1,200,6,L,378.4,4.5,7782.79,74.69,965.21,34345,301.27,1787.34,1251.53,52.6,510.12,7.18,344,43.01,58.92
5,Nov. 02,Paw Paw,PP1,197,6,L,378.5,4.4,7772.93,76.78,986.47,35815.2,299.69,2230.76,1698.27,58.45,523.17,7.31,480.29,45.32,60.43
6,Nov. 02,Paw Paw,PP1,196,6,K,378.6,4.3,8184.38,66.59,1029.77,34961.2,183.9,2144.24,1406.77,58.77,517.65,7.48,377.97,48.53,58.52
7,Nov. 02,Paw Paw,PP1,191,6,K,378.7,4.2,8036.58,77.92,1102.17,37067.3,307.53,2191.63,1798.77,59.76,633.01,7.55,475.51,46.85,60.87
8,Nov. 02,Paw Paw,PP1,190,6,K,378.8,4.1,8044.77,86.35,925.14,34204.3,94.14,1708.77,1259.53,54.2,474.6,7.24,327.57,40.53,58.94
9,Nov. 02,Paw Paw,PP1,187,5,K,378.9,4,7363.06,57.08,760.71,31429.8,184.63,1315.25,893.75,57.07,455.51,6.82,260.15,35.6,53.88
10,Nov. 02,Paw Paw,PP1,184,5,J,379,3.9,7912.58,70.59,862.19,32496,267.58,1510.15,1196.28,59.16,495.88,7.92,318.93,37.77,62.93
