UwiscNo,DateSent,Site,Unit,SampleNo,Layer,Context,Depth,Elevation,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Sr,Ti,Zn,S
80,Nov. 02,Slate Branch,SB2,187,14,N,5.1,493,7089.47,47.34,949.12,32383.8,429.89,2061.66,777.59,43.86,113.6,7.26,350.75,48.23,38.56
82,Nov. 02,Slate Branch,SB2,181,14,M,4.7,493.4,7740.24,48.18,980.51,33314.7,590.23,2653.77,841.6,44.63,149.24,7.4,384.85,47.26,41.38
83,Nov. 02,Slate Branch,SB2,178,13,L,4.5,493.6,7979,62.11,927.7,32571.1,263.62,2650.28,885.08,43.98,200.2,6.96,410.38,52.65,44.54
84,Nov. 02,Slate Branch,SB2,175,13,L,4.3,493.8,8898.13,57.71,866.93,33040.1,334.61,3216.54,903.86,40.38,236.8,6.59,452.66,60.13,41.99
85,Nov. 02,Slate Branch,SB2,172,13,K,4.1,494,9463.08,75.11,748.56,33314.9,249.95,3426.1,1335.91,40.26,184.38,5.92,474.57,67.92,51.33
86,Nov. 02,Slate Branch,SB2,169,13,K,3.9,494.2,10102.3,83.81,713.7,33792.8,253.45,3508.66,1262.29,41.13,190.13,5.77,458.49,68.76,60.46
87,Nov. 02,Slate Branch,SB2,166,13,J,3.7,494.4,11400.9,100.7,731.59,37179.1,318.79,4128.65,1680.33,39.64,266.25,6.1,501.96,79.7,71.98
88,Nov. 02,Slate Branch,SB2,155,11,J,3.5,494.6,10419.9,110.73,760.45,33243.1,320.78,3401.02,2371.02,38.91,231.99,6.3,434.81,72.18,73.98
89,Nov. 02,Slate Branch,SB2,151,11,J,3.4,494.7,10351.2,105.43,732.12,32870.5,267.09,3549.77,2465.69,40.73,243.21,6.12,462.13,74.77,77.88
90,Nov. 02,Slate Branch,SB2,147,11,I,3.3,494.8,10380.4,96.26,735.83,32470.8,130.9,3371.08,1551,44.42,216.18,6.02,427.27,72.02,78.72
91,Nov. 02,Slate Branch,SB2,143,11,I,3.2,494.9,10604,98.32,736.46,32146.4,275.09,3513.16,1558.1,39.79,198.21,6.15,433.32,78.77,76.55
92,Nov. 02,Slate Branch,SB2,139,11,I,3.1,495,10194.2,98.15,746.73,33143.5,225.05,3243.68,1573.47,48.38,236.29,6.12,453.77,68.91,80.55
93,Nov. 02,Slate Branch,SB2,135,11,I,3,495.1,11174.8,117.4,752.87,34430.1,349.63,4068.32,2210.31,42.57,216.25,6.24,501.54,79.8,89.14
94,Nov. 02,Slate Branch,SB2,131,11,H,2.9,495.2,10160.4,135.77,771,31717.4,351.33,3471.73,3113.45,41.52,197.08,6.32,433.14,71.42,88.43
95,Nov. 02,Slate Branch,SB2,127,10,H,2.8,495.3,9737,166.86,801.48,33141.4,360.58,2132.1,3863.25,44.41,227.25,6.6,328.63,53.62,115.21
96,Nov. 02,Slate Branch,SB2,123,10,G,2.7,495.4,8816.45,152.85,840.01,32996.5,326.78,1581.77,3198.62,36.98,201.07,6.65,281.14,47.74,141.21
97,Nov. 02,Slate Branch,SB2,119,9,G,2.6,495.5,9244.36,140.27,735.72,32509.6,509.02,2506.8,3751.22,38.14,167.85,5.96,370.8,60.22,140.34
98,Nov. 02,Slate Branch,SB2,115,9,G,2.5,495.6,9996.54,113.15,735.94,38929.9,590.16,3058.18,2817.11,34.26,165.19,5.87,453.09,64.57,127.1
99,Nov. 02,Slate Branch,SB2,111,7,F,2.4,495.7,8796.01,126.73,540.9,34606.1,302.55,1537.1,3131.69,32.93,188.95,4.51,291.36,42.5,159.53
100,Nov. 02,Slate Branch,SB2,107,7,F,2.3,495.8,8534.08,96.94,534.61,32129.6,314.82,1688.6,2026.33,29.43,170.64,4.33,312.73,42.37,131.99
101,Nov. 02,Slate Branch,SB2,103,7,F,2.2,495.9,10332,98.42,572.55,36571.3,500.79,3248.28,1941.72,33.34,201.67,4.65,406.73,67.78,122.61
102,Nov. 02,Slate Branch,SB2,99,6,E,2.1,496,7807.06,97.84,566.94,34881.5,303.34,1316.3,2610.08,31.85,185.47,4.53,283.27,37.23,140
103,Nov. 02,Slate Branch,SB2,95,6,E,2,496.1,8258.2,99.94,621.91,33215.6,291.87,1020.49,2050.09,32.89,226.33,5.04,254.43,34.49,125.93
104,Nov. 02,Slate Branch,SB2,91,5,E,1.9,496.2,7498.02,85.02,592.78,33269.4,283.46,1072.45,1955.66,34.17,169.28,4.75,254.04,30.57,123.64
105,Nov. 02,Slate Branch,SB2,87,4,E,1.8,496.3,7762.25,79.18,477.93,30229.9,314.14,1058.13,1887.88,35.59,183.27,3.85,272.91,31.7,137.16
106,Nov. 02,Slate Branch,SB2,83,4,E,1.7,496.4,8060.2,85.99,612.06,30634,317.73,1069.88,1738.46,38.99,190.23,5,253.01,33.26,120.62
107,Nov. 02,Slate Branch,SB2,79,4,E,1.6,496.5,8251.51,98.27,711.83,30762.6,365.64,1106.12,1748.93,36.42,206.51,5.85,252.81,42.68,109.83
108,Nov. 02,Slate Branch,SB2,75,4,D,1.5,496.6,8151.39,94.65,615.73,31503.9,327.74,973.97,1755.62,33.58,212.05,5.04,260.95,34.4,125.7
109,Nov. 02,Slate Branch,SB2,71,4,D,1.4,496.7,8800.17,224.15,550.96,33624,319.05,887.14,3333.54,33.78,233.47,5,263.34,34.5,163.77
110,Nov. 02,Slate Branch,SB2,67,3,D,1.3,496.8,8554.09,128.28,568.75,33905,328.66,1064.47,2757.43,32.19,231.15,4.93,267.09,36.09,150.97
111,Nov. 02,Slate Branch,SB2,63,3,D,1.2,496.9,8406.33,113.79,575.83,36875.6,327.87,993.06,2320.08,34.67,228.86,4.79,256.58,35.55,150.88
112,Nov. 02,Slate Branch,SB2,59,3,D,1.1,497,8519.28,131.37,595.77,35357.6,358.17,1106.42,2498.89,33.21,232.51,5.04,297.53,35.95,147.53
113,Nov. 02,Slate Branch,SB2,55,3,D,1,497.1,8332,147.05,560.18,34714.9,331.21,901.81,3343.92,29.13,237.46,4.77,239.62,34.36,167.61
114,Nov. 02,Slate Branch,SB2,51,3,C,0.9,497.2,8254.91,117.01,582.06,33798.9,407.34,1362.76,2278.6,30.69,198.72,4.54,294.11,38.03,148.05
115,Nov. 02,Slate Branch,SB2,47,3,C,0.8,497.3,7508.47,97.17,523.76,31645.9,375.52,1283.19,2223.25,33.09,185.42,4.12,285.54,33.76,162.34
116,Nov. 02,Slate Branch,SB2,43,3,C,0.7,497.4,7182.77,67.95,655.57,30714.5,428.32,1569.77,1351.47,33.84,133.25,4.77,317.6,34.31,137.8
117,Nov. 02,Slate Branch,SB2,39,2,B,0.6,497.5,7515.69,82.62,654.95,29315.3,390.67,1392.49,1976.91,33.57,139.39,4.97,296.25,37.44,129.7
118,Nov. 02,Slate Branch,SB2,35,2,B,0.5,497.6,7170.32,74.76,1145.2,31133.2,553.76,1751.72,1423.97,35.84,132.59,7.73,309,34.81,101.29
119,Nov. 02,Slate Branch,SB2,31,2,B,0.4,497.7,7137.6,68.39,1167.76,30466.6,583.33,1707.62,1241.25,33.63,130.8,7.78,300,39.93,95.23
120,Nov. 02,Slate Branch,SB2,27,2,B,0.3,497.8,6958.76,77.48,1608.54,26665,621.47,1742.87,899.81,36.38,126.17,10.81,271.32,36.4,102.31
121,Nov. 02,Slate Branch,SB2,23,2,A,0.2,497.9,6937.87,95.46,2079.4,25716,829.58,1762.6,1022.65,35.19,139.92,13.92,260.39,46.09,113.62
122,Nov. 02,Slate Branch,SB2,19,1,A,0.1,498,6899.18,106.67,2468.63,24638.5,813.49,1853.57,1117.85,39.2,144.97,16.39,263.25,42.65,123.92
123,Nov. 02,Slate Branch,SB2,15,1,A,0,498.1,6717.14,118.85,3090.97,23584.1,847.92,1886.54,1129.42,38.21,183.54,20.44,237.15,49.79,148.44
