Site,Layer,SampleNo,Depth,Cyperaceae,Typha.Sparganium,Alternanthera,Apiaceae,Anemone,Asteraceae.HS,Asteraceae.LS,Centaurea,Asteraceae.Liguliflorae,Brassicaceae,Caryophyllaceae,Cheno.Am,Cirsium,Fagopyrum,Geraniaceae,Gossypium,Hypericaceae,Impatiens,Lamiaceae,Liliaceae,Melilotus,Onagraceae,Parthenocissus,PlantagoII,Plantago,Poaceae,Polygonaceae,Polygonum,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Rumex,Scrophulariaceae,Solanaceae,Trifolium,Trifolium.Repens.Type,Urtica,Verbena,Cerealea,Cerealea.Type.B,Zea,Acer,Aesculus,Ailanthus,Alnus,Betula,Carpinus,Carya,Castanea,Cornus,Diospyros,Fabaceae,Fagus,Fraxinus,Gleditsia,JuglansNigra,Liquidambar,Liriodendron,Magnolia,Malus.Pyrus,Myrtaceae,Nyssa.Aquatica,Nyssa.Sylvatica,Ostrya,Picea,Pinus,Platanus,Prunus,Quercus,Rhamnaceae,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Vitis,Indeterminate,Unknown B,Unknown C,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
SS2,1,1,0.1,2,1,0,2,0,1,40,0,3,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,4,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,4,0,4,0,0,0,0,0,1,0,4,1,12,0,0,0,1,0,0,0,87,6,1,40,0,0,2,0,15,0,0,0,0,0,2,0,0,2,3,76,181,2,2,262,2
SS2,1,2,0.2,5,0,0,0,0,0,47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,1,0,1,0,3,0,0,0,1,0,2,0,11,0,5,0,0,0,0,0,0,0,95,6,1,36,0,0,1,0,9,0,1,1,0,0,4,0,0,0,5,76,175,4,0,260,0
SS2,1,3,0.3,1,2,0,2,0,1,96,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,3,31,1,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,3,1,0,2,0,0,0,2,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,36,7,5,29,0,0,2,0,10,0,0,0,0,0,2,0,2,0,3,152,105,4,0,264,0
SS2,2,4,0.4,1,0,0,9,0,1,87,0,2,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,1,0,1,0,0,1,0,2,0,0,4,0,0,1,0,0,1,0,0,2,14,0,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,34,7,2,31,0,0,1,0,24,0,0,0,0,4,8,0,0,0,1,146,131,8,0,286,0
SS2,2,5,0.5,0,0,0,6,0,0,98,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,27,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,1,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,8,2,25,0,0,2,0,16,0,1,0,0,0,5,0,0,0,0,154,95,5,0,254,0
SS2,2,6,0.6,1,0,0,8,0,1,103,0,7,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,9,3,32,0,0,2,0,17,0,0,1,0,1,5,0,1,0,1,165,102,6,0,274,0
SS2,2,7,0.7,1,1,0,8,0,0,127,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,6,0,31,0,0,2,0,11,0,1,1,0,0,4,0,0,0,2,172,91,4,0,269,0
SS2,2,8,0.8,2,0,0,5,0,0,96,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,3,2,28,0,0,1,0,16,0,0,1,0,1,3,1,0,0,2,137,104,4,0,247,0
SS2,2,9,0.9,2,0,0,7,1,2,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,15,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,3,10,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,23,8,2,27,0,0,3,0,26,0,0,1,0,3,4,0,1,0,2,141,114,5,0,262,0
SS2,2,10,1,2,0,0,4,0,2,82,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,23,1,0,0,1,0,0,2,0,0,1,2,1,0,0,2,1,2,0,0,2,1,1,0,1,13,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,31,10,0,34,0,0,3,0,13,0,0,0,0,0,4,0,1,0,2,134,115,5,0,256,0
